,reaction,metabolite,sample_id,flux
5023,EX_MGlcn67_rl(e),MGlcn67_rl(e),Cancer1,7.509684129713543e-10
5024,EX_MGlcn67_rl(e),MGlcn67_rl(e),Cancer2,4.552093842033884e-13
5025,EX_MGlcn67_rl(e),MGlcn67_rl(e),Cancer3,1.9409553552088e-11
5026,EX_MGlcn67_rl(e),MGlcn67_rl(e),Cancer4,1.326214384443166e-12
5027,EX_MGlcn67_rl(e),MGlcn67_rl(e),Cancer5,3.5886422672732183e-12
5028,EX_MGlcn67_rl(e),MGlcn67_rl(e),Cancer6,5.003000774379453e-07
5029,EX_MGlcn67_rl(e),MGlcn67_rl(e),Cancer7,7.272637856140701e-13
5030,EX_MGlcn67_rl(e),MGlcn67_rl(e),Healthy2,1.5114026022097773e-14
5031,EX_MGlcn67_rl(e),MGlcn67_rl(e),Healthy3,6.421811839426232e-09
5032,EX_MGlcn67_rl(e),MGlcn67_rl(e),Healthy5,1.714072234567076e-12
5033,EX_MGlcn67_rl(e),MGlcn67_rl(e),Healthy7,1.5346013024034761e-13
5034,EX_MGlcn67_rl(e),MGlcn67_rl(e),Healthy8,1.8144705370224422e-09
5035,EX_MGlcn68(e),MGlcn68(e),Cancer1,8.840307124251859e-10
5036,EX_MGlcn68(e),MGlcn68(e),Cancer2,7.124228915804579e-13
5037,EX_MGlcn68(e),MGlcn68(e),Cancer3,1.1694277464249042e-11
5038,EX_MGlcn68(e),MGlcn68(e),Cancer4,1.6517335637901052e-12
5039,EX_MGlcn68(e),MGlcn68(e),Cancer5,1.7164238060527855e-11
5040,EX_MGlcn68(e),MGlcn68(e),Cancer6,4.5034198185197574e-07
5041,EX_MGlcn68(e),MGlcn68(e),Cancer7,3.017252261133297e-12
5042,EX_MGlcn68(e),MGlcn68(e),Cancer8,5.839734765826096e-11
5043,EX_MGlcn68(e),MGlcn68(e),Healthy1,1.269101285646093e-09
5044,EX_MGlcn68(e),MGlcn68(e),Healthy2,4.200151395228494e-13
5045,EX_MGlcn68(e),MGlcn68(e),Healthy3,3.9611388185130104e-09
5046,EX_MGlcn68(e),MGlcn68(e),Healthy4,1.2935582996445726e-13
5047,EX_MGlcn68(e),MGlcn68(e),Healthy5,1.95723770468749e-12
5048,EX_MGlcn68(e),MGlcn68(e),Healthy6,2.0057445572417273e-11
5049,EX_MGlcn68(e),MGlcn68(e),Healthy7,2.696188205108527e-13
5050,EX_MGlcn68(e),MGlcn68(e),Healthy8,1.407519697545684e-09
5051,EX_MGlcn68_rl(e),MGlcn68_rl(e),Cancer1,3.6690951370296057e-10
5052,EX_MGlcn68_rl(e),MGlcn68_rl(e),Cancer2,7.199635527149687e-13
